"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0940","social","female","yes",0.5,0.05,0.67,0.61,0.5,0,0,0,0,0,0,0,0,0.18,0.27,0.92,0.109756097560976,0.902439024390244
"user0941","social","male","no",0.5,0.25,0.6,0.5,0.5,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0942","social","male","yes",0.33,0.25,0.6,0.61,0.67,14238,645,6781,7457,103,542,11420,534,0.27,0.82,0.96,0.753424657534246,0.945205479452055
"user0943","social","male","yes",0.58,0.65,0.6,0.83,0.61,0,0,0,0,0,0,0,0,0,0.36,0.58,0.36,0.58
"user0944","social","male","no",0.75,0.65,0.73,0.83,0.67,0,0,0,0,0,0,0,0,0.18,NA,-1,NA,NA
"user0945","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0947","social","male","yes",0.58,0.5,0.6,0.5,0.5,0,0,0,0,0,0,0,0,0,0.45,0.9,0.45,0.9
"user0948","social","male","no",0.58,0.8,0.67,0.83,0,0,0,0,0,0,0,0,0,0.55,NA,-1,NA,NA
"user0949","social","male","no",0.58,0.35,0.8,0.72,0.28,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0950","social","male","yes",0.58,0.6,0.67,0.61,0.67,224,96,0,224,0,96,211,90,0.27,0.45,0.9,0.246575342465753,0.863013698630137
"user0951","social","male","yes",0.42,0.7,0.8,0.61,0.5,0,0,0,0,0,0,0,0,0.45,0.36,0.58,-0.163636363636364,0.236363636363636
"user0952","social","male","no",1,0.85,1,1,1,0,0,0,0,0,0,0,0,0.64,NA,-1,NA,NA
"user0953","social","male","yes",0.5,0.1,0.67,0.56,0.56,1422,74,1316,106,37,37,474,25,0.09,0.64,0.91,0.604395604395604,0.901098901098901
"user0954","social","male","no",0.92,0.8,1,0.83,0.61,3799,55,3654,145,44,11,3799,55,0.45,NA,-1,NA,NA
"user0955","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0956","social","male","yes",0.42,0.55,0.67,0.39,0.67,0,0,0,0,0,0,0,0,0.09,0.27,0.59,0.197802197802198,0.549450549450549
"user0957","social","female","yes",0.75,0.85,0.93,0.83,0.67,0,0,0,0,0,0,0,0,0.64,NA,0.97,NA,0.916666666666667
"user0958","social","female","yes",0.67,0.4,1,0.94,0.56,0,0,0,0,0,0,0,0,0.45,0.55,0.38,0.181818181818182,-0.127272727272727
"user0959","social","male","no",0.58,0.75,0.93,0.78,0.67,1632,88,947,685,32,56,1632,88,0.45,NA,-1,NA,NA
"user0960","social","male","no",0.5,0.75,0.67,0.72,0.72,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0961","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0962","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0963","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0964","social",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.67,NA,NA
